"ADDRESS","COMPANY","DESCRIPTION","EMAIL","PHONE NUMBER","SITE"
"Zorge 28","Fit Service","Just note","fit@fit.ru","51-038","fit.ru"
"Zorge 28","Fit Service","","fit@fit.ru","51-038","fit.ru"
"Rostov","lukOil","Just one more note","luk@oil","52-000","luk.oil"
"myAddress","myCompany","myDescription","pan@mail.ru","+7(918)530-24-62","service.com"
"myAddress","myCompany","","pan@mail.ru","+7(918)530-24-62","service.com"
"Zorge 28","Fit Service","Just note","fit@fit.ru","51-038","fit.ru"
"Zorge 28","Fit Service","just note about card","fitservice@gmail.com","51-068","fit.service"
"Zorge 28","Fit Service","Just note","fit@fit.ru","51-038","fit.ru"
"Zorge 28","Fit Service","just note about card","fitservice@gmail.com","51-068","fit.service"
"Zorge 28","lukOil","","luk@oil.com","79185302462","luk.oil"
"Zorge 28","lukOil","most profitable to refuel here","luk@oil.com","79185302462","luk.oil"
"Zorge 28","Fit Service","","fit@service.com","79885312462","fitservice.com"
